,Id,MSSubClass,LotFrontage,LotArea,Street,Neighborhood,OverallQual,OverallCond,YearBuilt,RoofMatl,MasVnrArea,BsmtQual,BsmtCond,BsmtFinType1,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenAbvGr,GarageArea,PavedDrive,MiscVal,MoSold,YrSold,SaleCondition,SalePrice
20,21,60,101.0,14215,Pave,NridgHt,8,5,2005,CompShg,380.0,Ex,TA,Unf,GasA,Ex,Y,1158,1218,2376,3,1,853,Y,0,11,2006,Partial,325300
21,22,45,57.0,7449,Pave,IDOTRR,7,7,1930,CompShg,0.0,TA,TA,Unf,GasA,Ex,Y,1108,0,1108,1,1,280,N,0,6,2007,Normal,139400
22,23,20,75.0,9742,Pave,CollgCr,8,5,2002,CompShg,281.0,Gd,TA,Unf,GasA,Ex,Y,1795,0,1795,2,1,534,Y,0,9,2008,Normal,230000
23,24,120,44.0,4224,Pave,MeadowV,5,7,1976,CompShg,0.0,Gd,TA,GLQ,GasA,TA,Y,1060,0,1060,1,1,572,Y,0,6,2007,Normal,129900
24,25,20,,8246,Pave,Sawyer,5,8,1968,CompShg,0.0,TA,TA,Rec,GasA,Ex,Y,1060,0,1060,1,1,270,Y,0,5,2010,Normal,154000
25,26,20,110.0,14230,Pave,NridgHt,8,5,2007,CompShg,640.0,Gd,TA,Unf,GasA,Ex,Y,1600,0,1600,2,1,890,Y,0,7,2009,Normal,256300
26,27,20,60.0,7200,Pave,NAmes,5,7,1951,CompShg,0.0,TA,TA,BLQ,GasA,TA,Y,900,0,900,1,1,576,Y,0,5,2010,Normal,134800
27,28,20,98.0,11478,Pave,NridgHt,8,5,2007,CompShg,200.0,Ex,TA,GLQ,GasA,Ex,Y,1704,0,1704,2,1,772,Y,0,5,2010,Normal,306000
28,29,20,47.0,16321,Pave,NAmes,5,6,1957,CompShg,0.0,TA,TA,BLQ,GasA,TA,Y,1600,0,1600,1,1,319,Y,0,12,2006,Normal,207500
29,30,30,60.0,6324,Pave,BrkSide,4,6,1927,CompShg,0.0,TA,TA,Unf,GasA,Fa,N,520,0,520,1,1,240,Y,0,5,2008,Normal,68500
30,31,70,50.0,8500,Pave,IDOTRR,4,4,1920,CompShg,0.0,TA,TA,Unf,GasA,TA,N,649,668,1317,1,1,250,N,0,7,2008,Normal,40000
31,32,20,,8544,Pave,Sawyer,5,6,1966,CompShg,0.0,TA,TA,Unf,GasA,Gd,Y,1228,0,1228,1,1,271,Y,0,6,2008,Normal,149350
32,33,20,85.0,11049,Pave,CollgCr,8,5,2007,CompShg,0.0,Ex,TA,Unf,GasA,Ex,Y,1234,0,1234,2,1,484,Y,0,1,2008,Normal,179900
33,34,20,70.0,10552,Pave,NAmes,5,5,1959,CompShg,0.0,TA,TA,Rec,GasA,Gd,Y,1700,0,1700,1,1,447,Y,0,4,2010,Normal,165500
34,35,120,60.0,7313,Pave,NridgHt,9,5,2005,CompShg,246.0,Ex,TA,GLQ,GasA,Ex,Y,1561,0,1561,2,1,556,Y,0,8,2007,Normal,277500
35,36,60,108.0,13418,Pave,NridgHt,8,5,2004,CompShg,132.0,Ex,TA,Unf,GasA,Ex,Y,1132,1320,2452,3,1,691,Y,0,9,2006,Normal,309000
36,37,20,112.0,10859,Pave,CollgCr,5,5,1994,CompShg,0.0,Gd,TA,Unf,GasA,Ex,Y,1097,0,1097,1,1,672,Y,0,6,2009,Normal,145000
37,38,20,74.0,8532,Pave,NAmes,5,6,1954,CompShg,650.0,TA,TA,Rec,GasA,Gd,Y,1297,0,1297,1,1,498,Y,0,10,2009,Normal,153000
38,39,20,68.0,7922,Pave,NAmes,5,7,1953,CompShg,0.0,TA,TA,GLQ,GasA,TA,Y,1057,0,1057,1,1,246,Y,0,1,2010,Abnorml,109000
39,40,90,65.0,6040,Pave,Edwards,4,5,1955,CompShg,0.0,,,,GasA,TA,N,1152,0,1152,2,2,0,N,0,6,2008,AdjLand,82000
40,41,20,84.0,8658,Pave,NAmes,6,5,1965,CompShg,101.0,TA,TA,Rec,GasA,Ex,Y,1324,0,1324,2,1,440,Y,0,12,2006,Abnorml,160000
41,42,20,115.0,16905,Pave,Timber,5,6,1959,CompShg,0.0,TA,TA,BLQ,GasA,Gd,Y,1328,0,1328,1,1,308,P,0,7,2007,Normal,170000
42,43,85,,9180,Pave,SawyerW,5,7,1983,CompShg,0.0,Gd,TA,ALQ,GasA,Gd,Y,884,0,884,1,1,504,Y,0,12,2007,Normal,144000
43,44,20,,9200,Pave,CollgCr,5,6,1975,CompShg,0.0,Gd,TA,LwQ,GasA,TA,Y,938,0,938,1,1,308,Y,0,7,2008,Normal,130250
44,45,20,70.0,7945,Pave,NAmes,5,6,1959,CompShg,0.0,TA,TA,ALQ,GasA,Ex,Y,1150,0,1150,1,1,300,Y,0,5,2006,Normal,141000
45,46,120,61.0,7658,Pave,NridgHt,9,5,2005,CompShg,412.0,Ex,TA,GLQ,GasA,Ex,Y,1752,0,1752,2,1,576,Y,0,2,2010,Normal,319900
46,47,50,48.0,12822,Pave,Mitchel,7,5,2003,CompShg,0.0,Ex,TA,GLQ,GasA,Ex,Y,1518,631,2149,1,1,670,Y,0,8,2009,Abnorml,239686
47,48,20,84.0,11096,Pave,Somerst,8,5,2006,CompShg,0.0,Gd,TA,GLQ,GasA,Ex,Y,1656,0,1656,2,1,826,Y,0,7,2007,Normal,249700
48,49,190,33.0,4456,Pave,OldTown,4,5,1920,CompShg,0.0,TA,TA,Unf,GasA,Gd,Y,736,716,1452,2,3,0,N,0,6,2009,Partial,113000
49,50,20,66.0,7742,Pave,Sawyer,5,7,1966,CompShg,0.0,TA,TA,BLQ,GasA,Ex,Y,955,0,955,1,1,386,Y,0,1,2007,Normal,127000
50,51,60,,13869,Pave,Gilbert,6,6,1997,CompShg,0.0,Gd,TA,GLQ,GasA,Gd,Y,794,676,1470,2,1,388,Y,0,7,2007,Normal,177000
51,52,50,52.0,6240,Pave,BrkSide,6,6,1934,CompShg,0.0,TA,TA,Unf,GasA,TA,Y,816,0,1176,1,1,528,Y,400,9,2006,Normal,114500
52,53,90,110.0,8472,Grvl,IDOTRR,5,5,1963,CompShg,0.0,Gd,TA,LwQ,GasA,TA,N,816,0,816,1,1,516,Y,0,5,2010,Normal,110000
53,54,20,68.0,50271,Pave,Veenker,9,5,1981,WdShngl,0.0,Ex,TA,GLQ,GasA,Gd,Y,1842,0,1842,0,1,894,Y,0,11,2006,Normal,385000
54,55,80,60.0,7134,Pave,NAmes,5,5,1955,CompShg,0.0,TA,TA,ALQ,GasA,TA,Y,1360,0,1360,1,1,572,Y,0,2,2007,Normal,130000
55,56,20,100.0,10175,Pave,NAmes,6,5,1964,CompShg,272.0,TA,TA,BLQ,GasA,Gd,Y,1425,0,1425,2,1,576,Y,0,7,2008,Normal,180500
56,57,160,24.0,2645,Pave,Somerst,8,5,1999,CompShg,456.0,Gd,TA,GLQ,GasA,Ex,Y,983,756,1739,2,1,480,Y,0,8,2009,Abnorml,172500
57,58,60,89.0,11645,Pave,CollgCr,7,5,2004,CompShg,0.0,Gd,TA,Unf,GasA,Ex,Y,860,860,1720,2,1,565,Y,0,8,2006,Normal,196500
58,59,60,66.0,13682,Pave,StoneBr,10,5,2006,CompShg,1031.0,Ex,TA,Unf,GasA,Ex,Y,1426,1519,2945,3,1,641,Y,0,10,2006,Partial,438780
59,60,20,60.0,7200,Pave,CollgCr,5,7,1972,CompShg,0.0,TA,TA,ALQ,GasA,Ex,Y,780,0,780,1,1,352,Y,0,1,2008,Normal,124900
60,61,20,63.0,13072,Pave,SawyerW,6,5,2004,CompShg,0.0,Gd,TA,ALQ,GasA,Ex,Y,1158,0,1158,1,1,576,Y,0,5,2006,Partial,158000
61,62,75,60.0,7200,Pave,IDOTRR,5,7,1920,CompShg,0.0,TA,Fa,Unf,GasA,TA,N,581,530,1111,1,1,288,N,0,3,2007,Normal,101000
62,63,120,44.0,6442,Pave,NridgHt,8,5,2006,CompShg,178.0,Gd,Gd,GLQ,GasA,Ex,Y,1370,0,1370,2,1,484,Y,0,10,2007,Normal,202500
63,64,70,50.0,10300,Pave,OldTown,7,6,1921,CompShg,0.0,TA,TA,Unf,GasA,Gd,Y,902,808,1710,2,1,480,Y,0,4,2010,Normal,140000
64,65,60,,9375,Pave,CollgCr,7,5,1997,CompShg,573.0,Gd,TA,GLQ,GasA,Ex,Y,1057,977,2034,2,1,645,Y,0,2,2009,Normal,219500
65,66,60,76.0,9591,Pave,NridgHt,8,5,2004,CompShg,344.0,Ex,TA,Unf,GasA,Ex,Y,1143,1330,2473,2,1,852,Y,0,10,2007,Normal,317000
66,67,20,,19900,Pave,NAmes,7,5,1970,CompShg,287.0,Gd,TA,GLQ,GasA,TA,Y,2207,0,2207,2,1,576,Y,0,7,2010,Normal,180000
67,68,20,72.0,10665,Pave,CollgCr,7,5,2003,CompShg,167.0,Gd,TA,GLQ,GasA,Ex,Y,1479,0,1479,2,1,558,Y,0,6,2007,Normal,226000
68,69,30,47.0,4608,Pave,OldTown,4,6,1945,CompShg,0.0,TA,TA,Unf,GasA,TA,Y,747,0,747,1,1,220,Y,0,6,2010,Normal,80000
69,70,50,81.0,15593,Pave,ClearCr,7,4,1953,CompShg,0.0,TA,TA,BLQ,GasW,TA,Y,1304,983,2287,2,1,667,Y,0,7,2006,Normal,225000
70,71,20,95.0,13651,Pave,NAmes,7,6,1973,CompShg,1115.0,Gd,TA,ALQ,GasA,Ex,Y,2223,0,2223,2,1,516,Y,0,2,2007,Normal,244000
71,72,20,69.0,7599,Pave,Mitchel,4,6,1982,CompShg,0.0,TA,TA,ALQ,GasA,TA,Y,845,0,845,1,1,360,Y,0,6,2007,Normal,129500
72,73,60,74.0,10141,Pave,Gilbert,7,5,1998,CompShg,40.0,Gd,TA,Unf,GasA,Gd,Y,885,833,1718,2,1,427,Y,0,12,2009,Normal,185000
73,74,20,85.0,10200,Pave,NAmes,5,7,1954,CompShg,104.0,TA,TA,ALQ,GasA,Gd,Y,1086,0,1086,1,1,490,Y,0,5,2010,Normal,144900
74,75,50,60.0,5790,Pave,OldTown,3,6,1915,CompShg,0.0,Fa,TA,Unf,GasA,Gd,N,840,765,1605,2,2,379,Y,0,5,2010,Normal,107400
75,76,180,21.0,1596,Pave,MeadowV,4,5,1973,CompShg,0.0,Gd,TA,GLQ,GasA,TA,Y,526,462,988,1,1,297,Y,0,11,2009,Normal,91000
76,77,20,,8475,Pave,NAmes,4,7,1956,CompShg,0.0,TA,TA,ALQ,GasA,Ex,Y,952,0,952,1,1,283,Y,0,4,2008,Normal,135750
77,78,50,50.0,8635,Pave,BrkSide,5,5,1948,CompShg,0.0,TA,TA,BLQ,GasA,TA,Y,1072,213,1285,1,1,240,Y,0,1,2008,Normal,127000
78,79,90,72.0,10778,Pave,Sawyer,4,5,1968,CompShg,0.0,TA,TA,Unf,GasA,TA,N,1768,0,1768,2,2,0,Y,0,4,2010,Normal,136500
79,80,50,60.0,10440,Pave,OldTown,5,6,1910,CompShg,0.0,TA,TA,Unf,GasA,Gd,Y,682,548,1230,1,1,440,Y,0,5,2009,Normal,110000
80,81,60,100.0,13000,Pave,NAmes,6,6,1968,CompShg,576.0,Gd,TA,Rec,GasA,TA,Y,1182,960,2142,2,1,509,Y,0,6,2009,Normal,193500
81,82,120,32.0,4500,Pave,Mitchel,6,5,1998,CompShg,443.0,Ex,Gd,GLQ,GasA,Ex,Y,1337,0,1337,2,1,405,Y,0,3,2006,Normal,153500
82,83,20,78.0,10206,Pave,Somerst,8,5,2007,CompShg,468.0,Gd,TA,GLQ,GasA,Ex,Y,1563,0,1563,2,1,758,Y,0,10,2008,Normal,245000
83,84,20,80.0,8892,Pave,NAmes,5,5,1960,CompShg,66.0,TA,TA,Unf,GasA,Gd,Y,1065,0,1065,1,1,461,Y,0,7,2007,Normal,126500
84,85,80,,8530,Pave,Gilbert,7,5,1995,CompShg,22.0,Gd,TA,Unf,GasA,Gd,Y,804,670,1474,2,1,400,Y,700,5,2009,Normal,168500
85,86,60,121.0,16059,Pave,NoRidge,8,5,1991,CompShg,284.0,Gd,TA,Unf,GasA,Ex,Y,1301,1116,2417,2,1,462,Y,0,4,2006,Normal,260000
86,87,60,122.0,11911,Pave,Gilbert,6,5,2005,CompShg,0.0,Gd,TA,Unf,GasA,Ex,Y,684,876,1560,2,1,400,Y,0,3,2009,Normal,174000
87,88,160,40.0,3951,Pave,Somerst,6,5,2009,CompShg,76.0,Gd,TA,Unf,GasA,Ex,Y,612,612,1224,2,1,528,Y,0,6,2009,Partial,164500
88,89,50,105.0,8470,Pave,IDOTRR,3,2,1915,CompShg,0.0,TA,Fa,Unf,GasA,TA,N,1013,0,1526,1,1,0,N,0,10,2009,Abnorml,85000
89,90,20,60.0,8070,Pave,CollgCr,4,5,1994,CompShg,0.0,Gd,TA,GLQ,GasA,Ex,Y,990,0,990,1,1,0,Y,0,8,2007,Normal,123600
90,91,20,60.0,7200,Pave,NAmes,4,5,1950,CompShg,0.0,,,,GasA,TA,Y,1040,0,1040,1,1,420,Y,0,7,2006,Normal,109900
91,92,20,85.0,8500,Pave,NAmes,5,3,1961,CompShg,203.0,TA,TA,Rec,GasA,TA,Y,1235,0,1235,1,1,480,Y,0,12,2006,Abnorml,98600
92,93,30,80.0,13360,Pave,Crawfor,5,7,1921,CompShg,0.0,Gd,TA,ALQ,GasA,Ex,Y,964,0,964,1,1,432,Y,0,8,2009,Normal,163500
93,94,190,60.0,7200,Pave,OldTown,6,6,1910,CompShg,0.0,TA,Fa,Rec,GasW,Ex,N,1260,1031,2291,2,2,506,Y,0,11,2007,Normal,133900
94,95,60,69.0,9337,Pave,CollgCr,6,5,1997,CompShg,0.0,Gd,TA,GLQ,GasA,Ex,Y,905,881,1786,2,1,684,Y,0,5,2007,Normal,204750
95,96,60,,9765,Pave,Gilbert,6,8,1993,CompShg,68.0,Gd,Gd,ALQ,GasA,Gd,Y,680,790,1470,2,1,420,Y,480,4,2009,Normal,185000
96,97,20,78.0,10264,Pave,CollgCr,7,5,1999,CompShg,183.0,Gd,TA,ALQ,GasA,Ex,Y,1588,0,1588,2,1,472,Y,0,8,2006,Normal,214000
97,98,20,73.0,10921,Pave,Edwards,4,5,1965,CompShg,48.0,TA,TA,Rec,GasA,TA,Y,960,0,960,1,1,432,P,0,5,2007,Normal,94750
98,99,30,85.0,10625,Pave,Edwards,5,5,1920,CompShg,0.0,TA,TA,ALQ,GasA,Fa,N,835,0,835,1,1,366,Y,400,5,2010,Abnorml,83000
99,100,20,77.0,9320,Pave,NAmes,4,5,1959,CompShg,0.0,TA,TA,ALQ,GasA,Fa,Y,1225,0,1225,1,1,0,Y,400,1,2010,Normal,128950
100,101,20,,10603,Pave,NWAmes,6,7,1977,CompShg,28.0,TA,TA,ALQ,GasA,Gd,Y,1610,0,1610,2,1,480,Y,0,2,2010,Normal,205000
101,102,60,77.0,9206,Pave,SawyerW,6,5,1985,CompShg,336.0,Gd,TA,Unf,GasA,TA,Y,977,755,1732,2,1,476,Y,0,6,2010,Normal,178000
102,103,90,64.0,7018,Pave,SawyerW,5,5,1979,CompShg,0.0,,,,GasA,TA,Y,1535,0,1535,2,2,410,Y,0,6,2009,Alloca,118964
103,104,20,94.0,10402,Pave,CollgCr,7,5,2009,CompShg,0.0,Gd,TA,Unf,GasA,Ex,Y,1226,0,1226,2,1,740,Y,0,5,2010,Normal,198900
104,105,50,,7758,Pave,IDOTRR,7,4,1931,CompShg,600.0,TA,TA,LwQ,GasA,Ex,Y,1226,592,1818,1,1,240,Y,0,6,2007,Normal,169500
105,106,60,75.0,9375,Pave,Somerst,8,5,2003,CompShg,768.0,Ex,TA,Unf,GasA,Ex,Y,1053,939,1992,2,1,648,Y,0,8,2008,Normal,250000
106,107,30,60.0,10800,Pave,OldTown,4,7,1885,CompShg,0.0,Fa,TA,Unf,GasA,Gd,Y,1047,0,1047,1,1,273,N,450,8,2007,Normal,100000
107,108,20,50.0,6000,Pave,OldTown,5,5,1948,CompShg,0.0,TA,TA,ALQ,GasA,Ex,Y,789,0,789,1,1,250,Y,0,4,2008,Partial,115000
108,109,50,85.0,8500,Pave,IDOTRR,5,7,1919,CompShg,0.0,TA,TA,Unf,GasW,TA,N,997,520,1517,2,1,0,N,0,8,2007,Normal,115000
109,110,20,105.0,11751,Pave,NWAmes,6,6,1977,CompShg,480.0,Gd,TA,BLQ,GasA,Ex,Y,1844,0,1844,2,1,546,Y,0,1,2010,Normal,190000
110,111,50,75.0,9525,Pave,Edwards,6,4,1954,CompShg,0.0,TA,Fa,Rec,GasA,Gd,Y,1216,639,1855,2,1,325,Y,0,10,2006,Normal,136900
111,112,80,,7750,Pave,Gilbert,7,5,2000,CompShg,0.0,Gd,TA,GLQ,GasA,Ex,Y,774,656,1430,2,1,400,Y,0,4,2010,Normal,180000
112,113,60,77.0,9965,Pave,CollgCr,7,5,2007,CompShg,220.0,Ex,TA,GLQ,GasA,Ex,Y,1282,1414,2696,2,1,792,Y,0,10,2007,Partial,383970
113,114,20,,21000,Pave,Crawfor,6,5,1953,CompShg,184.0,Gd,TA,ALQ,GasA,TA,Y,2259,0,2259,2,1,450,Y,0,10,2007,Abnorml,217000
114,115,70,61.0,7259,Pave,Crawfor,6,8,1945,CompShg,0.0,TA,TA,ALQ,GasA,Ex,Y,1436,884,2320,2,1,180,Y,0,7,2007,Normal,259500
115,116,160,34.0,3230,Pave,Somerst,6,5,1999,CompShg,1129.0,Gd,TA,GLQ,GasA,Gd,Y,729,729,1458,2,1,440,Y,0,6,2007,Normal,176000
116,117,20,,11616,Pave,Sawyer,5,5,1962,CompShg,116.0,TA,TA,LwQ,GasA,TA,Y,1092,0,1092,1,1,288,Y,0,9,2009,Normal,139000
117,118,20,74.0,8536,Pave,Edwards,5,5,2006,CompShg,0.0,Gd,TA,Unf,GasA,Gd,Y,1125,0,1125,1,1,430,Y,0,4,2007,Partial,155000
118,119,60,90.0,12376,Pave,SawyerW,7,5,1990,CompShg,0.0,Gd,TA,GLQ,GasA,Gd,Y,1699,1523,3222,3,1,594,Y,0,5,2010,Normal,320000
119,120,60,65.0,8461,Pave,CollgCr,6,5,2005,CompShg,0.0,Gd,TA,Unf,GasA,Ex,Y,728,728,1456,2,1,390,Y,0,7,2006,Partial,163990
120,121,80,,21453,Pave,ClearCr,6,5,1969,Metal,0.0,TA,TA,ALQ,GasA,Ex,Y,988,0,988,1,1,540,Y,0,10,2006,Normal,180000
121,122,50,50.0,6060,Pave,IDOTRR,4,5,1939,CompShg,0.0,TA,TA,Unf,GasA,Gd,Y,772,351,1123,1,1,264,P,0,6,2007,Normal,100000
122,123,20,75.0,9464,Pave,NAmes,6,7,1958,CompShg,135.0,TA,TA,BLQ,GasA,Gd,Y,1080,0,1080,1,1,288,Y,0,6,2008,Normal,136000
123,124,120,55.0,7892,Pave,SawyerW,6,5,1993,CompShg,0.0,Gd,TA,GLQ,GasA,Ex,Y,1199,0,1199,2,1,530,Y,0,3,2008,Normal,153900
124,125,20,48.0,17043,Pave,NWAmes,6,5,1979,CompShg,0.0,Gd,Fa,Unf,GasA,TA,Y,1586,0,1586,2,1,435,Y,0,1,2009,Normal,181000
125,126,190,60.0,6780,Pave,IDOTRR,6,8,1935,CompShg,0.0,TA,TA,GLQ,GasA,Gd,N,520,0,754,1,1,0,N,0,6,2006,Normal,84500
126,127,120,,4928,Pave,NPkVill,6,5,1976,CompShg,0.0,Gd,TA,ALQ,GasA,TA,Y,958,0,958,2,1,440,Y,0,2,2007,Normal,128000
127,128,45,55.0,4388,Pave,OldTown,5,7,1930,CompShg,0.0,TA,TA,LwQ,GasA,Ex,Y,840,0,840,1,1,0,N,0,6,2007,Normal,87000
128,129,60,69.0,7590,Pave,NAmes,6,5,1966,CompShg,266.0,TA,TA,BLQ,GasA,TA,Y,660,688,1348,1,1,453,Y,0,7,2006,Normal,155000
129,130,20,69.0,8973,Pave,NAmes,5,7,1958,CompShg,85.0,TA,TA,Rec,GasA,TA,Y,1053,0,1053,1,1,750,Y,0,7,2006,Abnorml,150000
130,131,60,88.0,14200,Pave,NAmes,7,6,1966,CompShg,309.0,TA,TA,Rec,GasA,Ex,Y,1216,941,2157,2,1,487,Y,0,5,2006,Normal,226000
131,132,60,,12224,Pave,Gilbert,6,5,2000,CompShg,40.0,Gd,TA,GLQ,GasA,Ex,Y,1022,1032,2054,2,1,390,Y,0,7,2009,Normal,244000
132,133,20,75.0,7388,Pave,NAmes,5,6,1959,CompShg,0.0,TA,TA,Rec,GasA,Gd,Y,1327,0,1327,1,1,624,Y,0,7,2007,Normal,150750
133,134,20,,6853,Pave,Timber,8,5,2001,CompShg,136.0,Ex,TA,GLQ,GasA,Ex,Y,1296,0,1296,2,1,471,Y,0,6,2009,Normal,220000
134,135,20,78.0,10335,Pave,Sawyer,5,6,1968,CompShg,0.0,TA,TA,Rec,GasA,Gd,Y,1721,0,1721,2,1,440,Y,0,7,2006,Normal,180000
135,136,20,80.0,10400,Pave,NWAmes,7,6,1970,CompShg,288.0,TA,TA,Unf,GasA,Gd,Y,1682,0,1682,2,1,530,Y,0,5,2008,Normal,174000
136,137,20,,10355,Pave,NAmes,5,5,1967,CompShg,196.0,TA,TA,BLQ,GasA,TA,Y,1214,0,1214,2,1,318,Y,0,7,2007,Normal,143000
137,138,90,82.0,11070,Pave,Mitchel,7,5,1988,CompShg,70.0,TA,TA,Unf,GasA,Gd,Y,1959,0,1959,3,2,766,Y,0,7,2006,Family,171000
138,139,60,73.0,9066,Pave,CollgCr,8,5,1999,CompShg,320.0,Gd,TA,GLQ,GasA,Ex,Y,1004,848,1852,2,1,660,Y,0,12,2008,Normal,230000
139,140,60,65.0,15426,Pave,CollgCr,6,5,1997,CompShg,0.0,Gd,TA,GLQ,GasA,Ex,Y,928,836,1764,2,1,470,Y,0,8,2009,Normal,231500
140,141,20,70.0,10500,Pave,NAmes,4,5,1971,CompShg,0.0,TA,TA,ALQ,GasA,TA,Y,864,0,864,1,1,0,Y,0,4,2010,Normal,115000
141,142,20,78.0,11645,Pave,CollgCr,7,5,2005,CompShg,0.0,Gd,TA,GLQ,GasA,Ex,Y,1734,0,1734,2,1,660,Y,0,1,2006,Normal,260000
142,143,50,71.0,8520,Pave,NAmes,5,4,1952,CompShg,0.0,TA,TA,Rec,GasA,Fa,Y,910,475,1385,2,1,720,Y,0,6,2010,Normal,166000
143,144,20,78.0,10335,Pave,CollgCr,7,5,1999,CompShg,183.0,Gd,TA,GLQ,GasA,Ex,Y,1501,0,1501,2,1,577,Y,0,6,2009,Normal,204000
144,145,90,70.0,9100,Pave,Sawyer,5,5,1963,CompShg,336.0,TA,TA,Rec,GasA,TA,Y,1728,0,1728,2,2,504,Y,0,11,2006,Abnorml,125000
145,146,160,24.0,2522,Pave,Edwards,6,5,2004,CompShg,50.0,Gd,TA,Unf,GasA,Ex,Y,970,739,1709,2,1,380,Y,0,4,2006,Normal,130000
146,147,30,51.0,6120,Pave,BrkSide,5,7,1931,CompShg,0.0,TA,TA,BLQ,GasA,TA,Y,875,0,875,1,1,180,Y,0,11,2009,Normal,105000
147,148,60,,9505,Pave,Gilbert,7,5,2001,CompShg,180.0,Gd,TA,Unf,GasA,Ex,Y,884,1151,2035,2,1,434,Y,0,5,2010,Normal,222500
148,149,20,63.0,7500,Pave,SawyerW,7,5,2004,CompShg,120.0,Gd,TA,GLQ,GasA,Ex,Y,1080,0,1080,1,1,0,Y,0,4,2008,Normal,141000
149,150,50,,6240,Pave,BrkSide,5,4,1936,CompShg,0.0,Gd,TA,Unf,GasA,Gd,Y,896,448,1344,1,1,240,Y,0,4,2006,Normal,115000
